Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,1_L,USA\Trump,0,President Trump,maxku,07-May-18 09:22:49,,,15,0.17,1,1
●,1_L,USA\Comey,0,former F.B.I. director James Comey,maxku,07-May-18 09:22:55,,,34,0.38,1,1
●,1_L,RUS,0,Russia,maxku,07-May-18 09:23:16,,,6,0.07,1,1
●,1_L,USA\Trump,0,the president,maxku,07-May-18 09:27:25,,,13,0.15,1,1
●,1_L,Comey Memos,0,Mr. Comey's closely guarded memos,maxku,07-May-18 09:27:33,,,33,0.37,1,1
●,1_L,USA\Comey,0,Mr. Comey,maxku,07-May-18 09:27:36,,,9,0.10,1,1
●,1_L,USA,0,Congress,maxku,07-May-18 09:27:46,,,8,0.09,2,2
●,1_L,USA,0,the Justice Department,maxku,07-May-18 09:27:55,,,22,0.25,2,2
●,1_L,RUS\Putin,0,President Vladimir V. Putin of Russia,maxku,07-May-18 09:29:21,,,37,0.41,6,6
●,1_L,RUS,0,Russia,maxku,07-May-18 09:29:25,,,6,0.07,6,6
●,1_L,RUS,0,Russia,maxku,07-May-18 09:32:10,,,6,0.07,22,22
●,1_L,Comey Memos\Steele dossier,0,'the hookers thing',AnZhu,24-Mar-20 10:06:31,,,19,0.21,29,29
●,1_L,Properties\Importance\Important & Intense,0,spoke in intimate and candid terms,maxku,10-May-18 17:12:00,Trump,,34,0.38,1,1
●,1_L,Properties\Importance\Important & Intense,0,most sensitive matters,maxku,10-May-18 17:12:50,Comey Memos,,22,0.25,1,1
●,1_L,Properties\Other\Negative,0,salacious,maxku,10-May-18 17:14:45,Steele dossier,,9,0.10,1,1
●,1_L,Properties\Importance\Important & Intense,0,closely guarded,maxku,10-May-18 17:16:30,Comey Memos,,15,0.17,1,1
●,1_L,Comey Memos,0,The redacted and declassified memos — running 15 pages in total,AnZhu,24-Mar-20 12:21:26,,,63,0.71,2,2
●,1_L,Properties\Power & Strength\Powerful & Leading,0,offer an extraordinary look,maxku,10-May-18 17:18:37,Comey Memos,,27,0.30,2,2
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:19:02,,,9,0.10,3,3
●,1_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,seized on the memos,maxku,10-May-18 17:19:47,Trump,,19,0.21,3,3
●,1_L,Properties\Violence & Unfair\Victim (receiving violence),0,seized on the memos,maxku,10-May-18 17:20:10,Comey,,19,0.21,3,3
●,1_L,Properties\Law\Lawful,0,NO COLLUSION,maxku,10-May-18 17:20:41,Trump,,12,0.13,3,3
●,1_L,Properties\Law\Lawful,0,NO OBSTRUCTION,maxku,10-May-18 17:20:46,Trump,,14,0.16,3,3
●,1_L,Comey Memos,0,the memos,maxku,10-May-18 17:21:05,,,9,0.10,4,4
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:21:14,,,9,0.10,4,4
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:21:18,,,9,0.10,4,4
●,1_L,Properties\Behaviour & character\SHOWN as Not reasonable/Stupid,0,serious judgment issues,maxku,10-May-18 17:22:25,Flynn,,23,0.26,4,4
●,1_L,Properties\Other\Other,0,according to copies of the memos,maxku,10-May-18 17:22:49,Comey Memos,,32,0.36,4,4
●,1_L,USA\Trump,0,the president,maxku,10-May-18 17:24:11,,,13,0.15,5,5
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:24:21,,,9,0.10,5,5
●,1_L,Properties\Affection\Affection or empathy,0,congratulate,maxku,17-May-18 10:56:00,Trump,,12,0.13,5,5
●,1_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,was irritated,maxku,10-May-18 17:26:28,Trump,,13,0.15,6,6
●,1_L,Properties\Violence & Unfair\Victim (receiving violence),0,irritated at Mr. Flynn,maxku,10-May-18 17:26:41,Flynn,,22,0.25,6,6
●,1_L,Properties\Behaviour & character\Not trustworthy,0,misleading,maxku,10-May-18 17:27:29,USA,,10,0.11,7,7
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:27:56,,,9,0.10,7,7
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:28:02,,,9,0.10,7,7
●,1_L,Properties\Law\Lawful,0,hadn't done anything wrong,maxku,10-May-18 17:29:01,Flynn,,26,0.29,7,7
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:29:41,,,9,0.10,8,8
●,1_L,Comey Memos,0,the memo,maxku,10-May-18 17:29:47,,,8,0.09,8,8
●,1_L,Properties\Behaviour & character\Not trustworthy,0,pleaded guilty to lying,maxku,10-May-18 17:30:38,Flynn,,23,0.26,9,9
●,1_L,USA,0,the F.B.I.,maxku,10-May-18 17:30:48,,,10,0.11,9,9
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:31:18,,,9,0.10,9,9
●,1_L,Properties\Honor & patriotic values\Honor,0,pleaded guilty to lying,maxku,10-May-18 17:31:55,Flynn,,23,0.26,9,9
●,1_L,Comey Memos,0,the memos,maxku,10-May-18 17:32:21,,,9,0.10,10,10
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:32:29,,,9,0.10,10,10
●,1_L,USA,0,the Senate,maxku,10-May-18 17:32:45,,,10,0.11,10,10
●,1_L,Properties\Importance\Important & Intense,0,evidence in a possible obstruction,maxku,10-May-18 17:33:35,Comey Memos,,34,0.38,11,11
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:33:55,,,9,0.10,11,11
●,1_L,Properties\Other\Other,0,possible obstruction of justice,maxku,10-May-18 17:34:10,Trump,,31,0.35,11,11
●,1_L,Comey Memos,0,The memos,maxku,10-May-18 17:34:26,,,9,0.10,12,12
●,1_L,Properties\Importance\Important & Intense,0,exacting in their specificity,maxku,10-May-18 17:35:03,Comey Memos,,29,0.33,12,12
●,1_L,Properties\Quality\Functioning,0,exacting in their specificity,maxku,10-May-18 17:35:29,Comey Memos,,29,0.33,12,12
●,1_L,Properties\Quality\Functioning,0,precise times,maxku,10-May-18 17:36:15,Comey Memos,,13,0.15,12,12
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:36:07,,,9,0.10,12,12
●,1_L,Properties\Behaviour & character\Trustworthy,0,add credibility,maxku,10-May-18 17:36:33,"Comey
Comey Memos",,15,0.17,13,13
●,1_L,Comey Memos,0,Mr. Comey's account of events,maxku,10-May-18 17:36:58,,,29,0.33,13,13
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:37:03,,,9,0.10,13,13
●,1_L,USA\Trump,0,Mr. Trump,maxku,10-May-18 17:37:06,,,9,0.10,13,13
●,1_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,has disputed,maxku,10-May-18 17:37:22,Trump,,12,0.13,13,13
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:37:35,,,9,0.10,13,13
●,1_L,Properties\Behaviour & character\Trustworthy,0,notes I typed in the vehicle immediately upon exiting,maxku,10-May-18 17:38:34,Comey Memos,,53,0.59,14,14
●,1_L,Properties\Quality\Functioning,0,notes I typed in the vehicle immediately upon exiting,maxku,10-May-18 17:38:38,Comey Memos,,53,0.59,14,14
●,1_L,USA\Comey,0,Mr. Comey,maxku,10-May-18 17:39:02,,,9,0.10,14,14
●,1_L,Comey Memos,0,his first memo,maxku,10-May-18 17:39:08,,,14,0.16,14,14
●,1_L,USA,0,Congress,maxku,11-May-18 08:21:10,,,8,0.09,15,15
●,1_L,Properties\Power & Strength\Powerful & Leading,0,willing to issue a subpoena,maxku,11-May-18 08:21:49,USA,,27,0.30,15,15
●,1_L,USA,0,The Justice Department,maxku,11-May-18 08:22:11,,,22,0.25,16,16
●,1_L,Properties\Power & Strength\Weak & Following,0,relented,maxku,11-May-18 08:22:27,USA,,8,0.09,16,16
●,1_L,Comey Memos,0,unredacted versions of the memos,AnZhu,23-Mar-20 19:17:12,,,32,0.36,16,16
●,1_L,Comey Memos,0,the memorandums,maxku,11-May-18 08:27:22,,,15,0.17,17,17
●,1_L,USA,0,Congress,maxku,11-May-18 08:27:26,,,8,0.09,17,17
●,1_L,Properties\Power & Strength\Weak & Following,0,not adversely impact,maxku,11-May-18 08:27:38,Comey Memos,,20,0.22,17,17
●,1_L,USA,0,the department,maxku,11-May-18 08:28:05,,,14,0.16,17,17
●,1_L,Properties\Other\Other,0,the unusual events,maxku,11-May-18 08:29:00,Comey Memos,,18,0.20,17,17
●,1_L,USA,0,the executive branch,maxku,11-May-18 08:29:31,,,20,0.22,17,17
●,1_L,Properties\Power & Strength\Powerful & Leading,0,issued a joint statement,maxku,11-May-18 08:30:05,USA-I,,24,0.27,18,18
●,1_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,taking direct aim,maxku,11-May-18 08:33:28,USA-I,,17,0.19,18,18
●,1_L,Properties\Violence & Unfair\Victim (receiving violence),0,direct aim at Mr. Comey's character and the import of the memos,maxku,11-May-18 08:34:58,"Comey
Comey Memos",,63,0.71,18,18
●,1_L,USA\Comey,0,Mr. Comey,maxku,11-May-18 08:34:34,,,9,0.10,18,18
●,1_L,Comey Memos,0,the memos,maxku,11-May-18 08:34:43,,,9,0.10,18,18
●,1_L,USA\Comey,0,Mr. Comey,maxku,11-May-18 08:35:44,,,9,0.10,18,18
