Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,3_L,USA\Democrats,0,Democratic Party,maxku,08-May-18 10:55:24,,,16,0.19,1,1
●,3_L,RUS interference into USA election,0,Trump-Russia conspiracy,maxku,08-May-18 10:55:30,,,23,0.27,1,1
●,3_L,USA\Trump,0,Trump,maxku,08-May-18 10:55:34,,,5,0.06,1,1
●,3_L,Lawsuit,0,new lawsuit,AnZhu,09-Apr-19 11:01:32,,,11,0.13,1,1
●,3_L,USA\Democrats,0,The Democratic National Committee,AnZhu,24-Mar-20 16:49:02,,,33,0.38,3,3
●,3_L,Lawsuit,0,a surprise legal assault,AnZhu,24-Mar-20 16:49:59,,,24,0.28,3,3
●,3_L,USA\Trump,0,President Trump,maxku,08-May-18 10:56:21,,,15,0.17,3,3
●,3_L,Lawsuit,0,lawsuit,maxku,08-May-18 10:56:28,,,7,0.08,3,3
●,3_L,RUS interference into USA election,0,conspiracy,maxku,08-May-18 10:56:44,,,10,0.12,3,3
●,3_L,Trump campaign,0,the Trump campaign,AnZhu,24-Mar-20 16:50:28,,,18,0.21,3,3
●,3_L,USA\Democrats\Clinton,0,Hillary Clinton,maxku,08-May-18 10:57:05,,,15,0.17,3,3
●,3_L,Lawsuit,0,"The 66-page complaint, filed in federal court in New York",AnZhu,11-Jan-19 13:23:30,,,57,0.66,4,4
●,3_L,RUS interference into USA election,0,Russia's election meddling,maxku,08-May-18 10:57:26,,,26,0.30,4,4
●,3_L,USA election 2016,0,the election,maxku,08-May-18 10:57:49,,,12,0.14,4,4
●,3_L,USA\Republicans,0,Republicans,maxku,08-May-18 11:00:30,,,11,0.13,4,4
●,3_L,RUS interference into USA election,0,"""an act of previously unimaginable treachery.""",AnZhu,24-Mar-20 16:54:25,,,46,0.54,4,4
●,3_L,Lawsuit,0,The sweeping lawsuit,AnZhu,24-Mar-20 16:54:33,,,20,0.23,5,5
●,3_L,USA\Republicans,0,Republicans,maxku,08-May-18 11:00:56,,,11,0.13,5,5
●,3_L,USA\Democrats,0,Democratic leaders,maxku,08-May-18 11:01:08,,,18,0.21,5,5
●,3_L,USA\Democrats,0,the D.N.C.,AnZhu,24-Mar-20 16:54:59,,,10,0.12,5,5
●,3_L,Lawsuit,0,civil litigation,maxku,18-May-18 07:15:51,,,16,0.19,5,5
●,3_L,USA\Democrats,0,the committee,maxku,08-May-18 11:02:05,,,13,0.15,5,5
●,3_L,USA\Democrats,0,the top Democrats in Congress,AnZhu,24-Mar-20 16:57:10,,,29,0.34,5,5
●,3_L,USA\Trump,0,Mr. Trump,maxku,08-May-18 11:04:31,,,9,0.10,6,6
●,3_L,USA\Democrats,0,"""obstructionist Democrats""",AnZhu,24-Mar-20 16:57:20,,,26,0.30,6,6
●,3_L,Lawsuit,0,filing the complaint,maxku,08-May-18 11:04:54,,,20,0.23,6,6
●,3_L,USA\Republicans,0,Republicans,maxku,08-May-18 11:04:59,,,11,0.13,6,6
●,3_L,USA\Democrats,0,the D.N.C.,AnZhu,24-Mar-20 16:57:41,,,10,0.12,6,6
●,3_L,Lawsuit,0,the D.N.C. allegations,AnZhu,11-Jan-19 13:29:23,,,22,0.26,7,7
●,3_L,Lawsuit,0,"a ""sham lawsuit about a bogus Russian collusion claim filed by a desperate, dysfunctional and nearly insolvent Democratic Party.""",AnZhu,24-Mar-20 16:58:18,,,129,1.50,7,7
●,3_L,RUS interference into USA election,0,a bogus Russian collusion,AnZhu,11-Jan-19 17:12:09,,,25,0.29,7,7
●,3_L,USA\Democrats,0,"a desperate, dysfunctional and nearly insolvent Democratic Party",AnZhu,11-Jan-19 13:29:57,,,64,0.75,7,7
●,3_L,USA\Democrats,0,Democrats,maxku,08-May-18 11:06:40,,,9,0.10,8,8
●,3_L,Lawsuit,0,the lawsuit,maxku,08-May-18 11:06:46,,,11,0.13,8,8
●,3_L,USA\Democrats,0,the party,maxku,08-May-18 11:06:52,,,9,0.10,8,8
●,3_L,Wikileaks,0,WikiLeaks,maxku,08-May-18 11:08:42,,,9,0.10,3,3
●,3_L,Lawsuit,0,The Democrats' legal maneuver,maxku,18-May-18 07:15:17,,,29,0.34,20,20
●,3_L,Trump campaign,0,"""a racketeering enterprise""",AnZhu,24-Mar-20 17:22:26,,,27,0.31,24,24
●,3_L,Trump campaign,0,Mr. Trump's campaign,maxku,18-May-18 07:19:05,,,20,0.23,24,24
●,3_L,RUS interference into USA election,0,illegally working with Russian intelligence agents,maxku,18-May-18 07:23:28,,,50,0.58,4,4
●,3_L,Properties\Other\Other,0,alleges,AnZhu,09-Apr-19 11:01:50,Democrats,,7,0.08,1,1
●,3_L,Properties\Power & Strength\Powerful & Leading,0,opened a surprise legal assault,maxku,18-May-18 08:28:36,Democrats,,31,0.36,3,3
●,3_L,Properties\Power & Strength\Powerful & Leading,0,filing a lawsuit,maxku,18-May-18 08:28:48,Democrats,,16,0.19,3,3
●,3_L,USA\Democrats,0,the party,maxku,18-May-18 08:56:01,,,9,0.10,2,2
●,3_L,USA\Democrats,0,the organization,maxku,18-May-18 08:56:19,,,16,0.19,3,3
●,3_L,Properties\Violence & Unfair\Victim (receiving violence),0,was the victim,maxku,18-May-18 08:56:24,Democrats,,14,0.16,3,3
●,3_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,damage,maxku,18-May-18 08:57:19,"Wikileaks
Trump campaign
RUS",,6,0.07,3,3
●,3_L,Properties\Violence & Unfair\Victim (receiving violence),0,damage Hillary Clinton,maxku,18-May-18 08:57:38,Clinton,,22,0.26,3,3
●,3_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,accuse,maxku,18-May-18 08:58:11,Lawsuit,,6,0.07,4,4
●,3_L,Properties\Law\Unlawful,0,illegally,maxku,18-May-18 08:58:38,"RUS interference into USA election
Republicans",,9,0.10,4,4
●,3_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,accuses,maxku,18-May-18 09:00:56,Democrats,,7,0.08,4,4
●,3_L,Properties\Behaviour & character\Not trustworthy,0,treachery,maxku,18-May-18 09:01:36,"RUS
Republicans",,9,0.10,4,4
●,3_L,Properties\Importance\Important & Intense,0,previously unimaginable,maxku,18-May-18 09:01:55,RUS interference into USA election,,23,0.27,4,4
●,3_L,Properties\Power & Strength\Powerful & Leading,0,sweeping,maxku,18-May-18 09:02:19,Lawsuit,,8,0.09,5,5
●,3_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,startled,maxku,18-May-18 09:02:29,Lawsuit,,8,0.09,5,5
●,3_L,Properties\Violence & Unfair\Victim (receiving violence),0,startled,maxku,18-May-18 09:02:40,"Republicans
Democrats",,8,0.09,5,5
●,3_L,Properties\Power & Strength\Powerful & Leading,0,plans to pursue,maxku,18-May-18 09:03:10,Democrats,,15,0.17,5,5
●,3_L,USA\Democrats,0,the committee,maxku,18-May-18 09:04:23,,,13,0.15,4,4
●,3_L,Properties\Power & Strength\Powerful & Leading,0,had alerted,maxku,18-May-18 09:04:35,Democrats,,11,0.13,5,5
●,3_L,Lawsuit,0,about to file,maxku,18-May-18 09:05:03,,,13,0.15,5,5
●,3_L,Properties\Affection\Refusal,0,chided,maxku,18-May-18 09:05:16,Democrats,,6,0.07,6,6
●,3_L,Properties\Behaviour & character\Not trustworthy,0,obstructionist,maxku,18-May-18 09:05:26,Democrats,,14,0.16,6,6
