Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,6_L,Migrant caravan,0,Members of the migrant caravan,maxku,09-May-18 21:00:35,,,30,0.34,2,2
●,6_L,Migrant caravan,0,a caravan of immigrants,maxku,21-May-18 12:17:10,,,23,0.26,3,3
●,6_L,USA,0,the United States,maxku,09-May-18 21:01:11,,,17,0.19,3,3
●,6_L,MEX,0,Mexico,maxku,09-May-18 21:01:14,,,6,0.07,3,3
●,6_L,USA\Trump,0,President Trump,maxku,09-May-18 21:01:20,,,15,0.17,3,3
●,6_L,Migrant caravan,0,More than 150 migrants,maxku,09-May-18 21:01:29,,,22,0.25,4,4
●,6_L,MEX,0,Mexico's border with Guatemala,AnZhu,25-Mar-20 17:10:41,,,30,0.34,4,4
●,6_L,Migrant caravan,0,the migrants,maxku,09-May-18 21:01:55,,,12,0.14,5,5
●,6_L,Migrant caravan,0,immigrants,maxku,09-May-18 21:03:54,,,10,0.11,6,6
●,6_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 21:04:07,,,9,0.10,6,6
●,6_L,Migrant caravan,0,the migrants,maxku,09-May-18 21:04:13,,,12,0.14,7,7
●,6_L,USA\Trump,0,Trump',maxku,09-May-18 21:04:57,,,6,0.07,9,9
●,6_L,USA\Trump,0,President Trump,maxku,09-May-18 21:05:02,,,15,0.17,10,10
●,6_L,MEX,0,Mexico,maxku,09-May-18 21:05:08,,,6,0.07,10,10
●,6_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 21:05:51,,,9,0.10,13,13
●,6_L,MEX,0,Mexico,maxku,09-May-18 21:05:55,,,6,0.07,13,13
●,6_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 21:06:04,,,9,0.10,13,13
●,6_L,USA,0,Congress,maxku,09-May-18 21:06:17,,,8,0.09,13,13
●,6_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 21:06:20,,,9,0.10,13,13
●,6_L,USA\Trump,0,Mr. Trump,maxku,09-May-18 21:06:27,,,9,0.10,14,14
●,6_L,USA-MEX Border,0,U.S. Border,maxku,09-May-18 21:14:02,,,11,0.12,1,1
●,6_L,USA-MEX Border,0,the border wall in Tijuana,AnZhu,25-Mar-20 16:54:53,,,26,0.29,2,2
●,6_L,USA-MEX Border,0,the border,maxku,09-May-18 21:14:19,,,10,0.11,3,3
●,6_L,USA-MEX Border,0,border,maxku,09-May-18 21:14:25,,,6,0.07,4,4
●,6_L,USA-MEX Border,0,the border,AnZhu,25-Mar-20 17:13:46,,,10,0.11,5,5
●,6_L,USA-MEX Border,0,Trump's Border Wall,AnZhu,25-Mar-20 17:22:36,,,19,0.21,9,9
●,6_L,USA-MEX Border,0,a wall on the border with Mexico,AnZhu,16-Jan-19 15:05:30,,,32,0.36,10,10
●,6_L,USA-MEX Border,0,the American border,maxku,09-May-18 21:14:55,,,19,0.21,11,11
●,6_L,USA-MEX Border,0,Mr. Trump's proposed border wall,AnZhu,25-Mar-20 17:25:41,,,32,0.36,13,13
●,6_L,Migrant caravan,0,Migrant Caravan of Asylum Seekers,AnZhu,16-Jan-19 14:19:11,,,33,0.37,1,1
●,6_L,Migrant caravan,0,"part of a caravan that once numbered about 1,200",AnZhu,25-Mar-20 17:08:54,,,48,0.54,4,4
●,6_L,Migration to the USA,0,"A long, grueling journey",maxku,21-May-18 12:39:14,,,24,0.27,3,3
●,6_L,Migration to the USA,0,finally reached the border between the United States and Mexico,AnZhu,25-Mar-20 17:08:22,,,63,0.71,3,3
●,6_L,Migration to the USA,0,a dramatic moment,maxku,21-May-18 12:39:47,,,17,0.19,3,3
●,6_L,Migration to the USA,0,a test of President Trump's anti-immigrant politics,maxku,21-May-18 12:39:54,,,51,0.57,3,3
●,6_L,Migration to the USA,0,prepared to seek asylum from United States immigration officials,maxku,21-May-18 12:40:10,,,64,0.72,4,4
●,6_L,Migration to the USA,0,an immigration drama,maxku,21-May-18 12:40:18,,,20,0.23,6,6
●,6_L,Migration to the USA,0,"headed north together as a form of protection against the kidnappers, muggers and rapists",AnZhu,25-Mar-20 17:18:14,,,89,1.00,6,6
●,6_L,Migration to the USA,0,a volatile flash point in the immigration debate ignited by Mr. Trump.,maxku,21-May-18 12:40:50,,,70,0.79,6,6
●,6_L,Properties\Safety\Unsafe,0,"long, grueling",maxku,26-May-18 13:29:08,Migration to the USA,,14,0.16,3,3
●,6_L,Properties\Difficulty\Difficult,0,finally,maxku,26-May-18 15:01:25,Migration to the USA,,7,0.08,3,3
●,6_L,Properties\Importance\Important & Intense,0,dramatic,maxku,26-May-18 15:01:36,Migration to the USA,,8,0.09,3,3
●,6_L,Properties\Importance\Important & Intense,0,"once numbered about 1,200",maxku,26-May-18 15:01:57,Migrant caravan,,25,0.28,4,4
●,6_L,Properties\Power & Strength\Powerful & Leading,0,prepared to seek asylum,maxku,26-May-18 15:02:12,Migrant caravan,,23,0.26,4,4
●,6_L,Properties\Difficulty\Difficult,0,one of many curves on the road,maxku,26-May-18 15:02:40,Migration to the USA,,30,0.34,5,5
●,6_L,MEX,0,the Mexican side of the border,AnZhu,25-Mar-20 17:13:24,,,30,0.34,5,5
●,6_L,Properties\Power & Strength\Weak & Following,0,would have to spend the night on the Mexican side,maxku,26-May-18 15:03:24,Migrant caravan,,49,0.55,5,5
●,6_L,Properties\Importance\Important & Intense,0,drama,maxku,26-May-18 15:16:34,Migration to the USA,,5,0.06,6,6
●,6_L,Properties\Other\Other,0,played out in relative obscurity,maxku,26-May-18 15:16:56,Migration to the USA,,32,0.36,6,6
●,6_L,Properties\Power & Strength\Powerful & Leading,0,headed north together,maxku,26-May-18 15:17:24,Migrant caravan,,21,0.24,6,6
●,6_L,Properties\Power & Strength\Weak & Following,0,protection against,maxku,26-May-18 15:18:09,Migrant caravan,,18,0.20,6,6
●,6_L,Properties\Difficulty\Difficult,0,their plight,maxku,26-May-18 15:18:33,Migrant caravan,,12,0.14,6,6
●,6_L,Properties\Importance\Important & Intense,0,a volatile flash point,maxku,26-May-18 15:18:50,Migration to the USA,,22,0.25,6,6
●,6_L,Properties\Power & Strength\Powerful & Leading,0,ignited by,maxku,26-May-18 15:19:10,Trump,,10,0.11,6,6
●,6_L,Properties\Importance\Important & Intense,0,"a fraught, deeply personal one",maxku,26-May-18 15:19:39,Migrant caravan,,30,0.34,7,7
●,6_L,Properties\Power & Strength\Powerful & Leading,0,wed at the beach,maxku,26-May-18 15:19:55,Migrant caravan-I,,16,0.18,8,8
●,6_L,Properties\Power & Strength\Weak & Following,0,unable to deliver,maxku,26-May-18 15:20:21,Trump,,17,0.19,10,10
●,6_L,Properties\Power & Strength\Powerful & Leading,0,planned to apply,maxku,26-May-18 15:20:44,Migrant caravan,,16,0.18,11,11
●,6_L,Properties\Power & Strength\Weak & Following,0,good chance that they would be split up,maxku,26-May-18 15:21:08,Migrant caravan,,39,0.44,11,11
●,6_L,Properties\Behaviour & character\Confident,0,going with the feeling,maxku,26-May-18 15:21:40,Migrant caravan-I,,22,0.25,12,12
●,6_L,Properties\Behaviour & character\Confident,0,going to be worth the effort,maxku,26-May-18 15:21:59,Migrant caravan-I,,28,0.32,12,12
●,6_L,Properties\Power & Strength\Weak & Following,0,fleeing a gang,maxku,26-May-18 15:22:19,Migrant caravan-I,,14,0.16,12,12
●,6_L,Properties\Safety\Unsafe,0,everything is possible,maxku,26-May-18 15:22:48,Migration to the USA,,22,0.25,12,12
●,6_L,Properties\Difficulty\Difficult,0,personal struggles,maxku,26-May-18 15:23:06,Migrant caravan-I,,18,0.20,13,13
●,6_L,Properties\Difficulty\Difficult,0,dense tangle of politics and policy,maxku,26-May-18 15:24:08,"MEX
USA",,35,0.39,13,13
●,6_L,Properties\Affection\Refusal,0,ill will,maxku,26-May-18 15:24:22,"Trump
MEX",,8,0.09,13,13
●,6_L,Properties\Violence & Unfair\Perpetrator & Aggressor (giving violence),0,the acrimony,maxku,26-May-18 15:25:04,"Trump
USA-I",,12,0.14,13,13
●,6_L,Properties\Importance\Important & Intense,0,a galvanizing issue,maxku,26-May-18 15:25:52,Migration to the USA,,19,0.21,14,14
●,6_L,Migration to the USA,0,immigration,maxku,26-May-18 15:26:09,,,11,0.12,14,14
●,6_L,Properties\Power & Strength\Weak & Following,0,worried about losing control,maxku,26-May-18 15:26:24,USA,,28,0.32,14,14
●,6_L,USA,0,the House,maxku,26-May-18 15:26:39,,,9,0.10,14,14
●,6_L,USA,0,the Senate,maxku,26-May-18 15:26:42,,,10,0.11,14,14
●,6_L,Properties\Power & Strength\Powerful & Leading,0,have been helping,maxku,26-May-18 15:27:05,"Supporters
Supporters-I",,17,0.19,15,15
●,6_L,Migrant caravan,0,the caravan,maxku,26-May-18 15:27:25,,,11,0.12,15,15
●,6_L,Migrant caravan,0,its participants,maxku,26-May-18 15:27:29,,,16,0.18,15,15
●,6_L,Properties\Power & Strength\Powerful & Leading,0,traveled,maxku,26-May-18 15:27:39,"Supporters
Supporters-I",,8,0.09,15,15
●,6_L,Properties\Power & Strength\Powerful & Leading,0,support,maxku,26-May-18 15:27:59,"Supporters
Supporters-I",,7,0.08,15,15
●,6_L,Migrant caravan,0,the migrants,maxku,26-May-18 15:28:14,,,12,0.14,15,15
●,6_L,Migrant caravan,0,Families from the caravan,AnZhu,25-Mar-20 17:28:21,,,25,0.28,16,16
●,6_L,USA,0,a country,maxku,26-May-18 15:28:28,,,9,0.10,17,17
●,6_L,Properties\Honor & patriotic values\Honor,0,about who we are as a country,maxku,26-May-18 15:28:35,USA,,29,0.33,17,17
●,6_L,Properties\Importance\Important & Intense,0,existential moment,maxku,26-May-18 15:28:45,Migrant caravan,,18,0.20,17,17
●,6_L,Properties\Importance\Important & Intense,0,a spiritual moment,maxku,26-May-18 15:28:53,Migrant caravan,,18,0.20,17,17
●,6_L,Properties\Honor & patriotic values\Honor,0,Liberty and justice for all,maxku,26-May-18 15:29:04,USA,,27,0.30,17,17
●,6_L,USA\Trump,0,Mr. Trump,maxku,26-May-18 15:29:12,,,9,0.10,18,18
