Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,8_L,USA\Mueller,0,Mueller,maxku,14-May-18 16:22:57,,,7,0.08,1,1
●,8_L,Questions for Trump,0,Dozens of Inquiries for Trump,AnZhu,26-Mar-20 14:08:35,,,29,0.31,1,1
●,8_L,USA\Trump,0,Trump,maxku,14-May-18 16:23:06,,,5,0.05,1,1
●,8_L,RUS,0,Russia,maxku,14-May-18 16:24:26,,,6,0.06,1,1
●,8_L,USA\Trump,0,the president,maxku,14-May-18 16:24:36,,,13,0.14,2,2
●,8_L,USA\Mueller,0,"Robert S. Mueller III, the special counsel investigating Russia's election interference",AnZhu,26-Mar-20 14:09:44,,,87,0.94,3,3
●,8_L,RUS investigation,0,investigating Russia's election interference,maxku,14-May-18 16:28:34,,,44,0.48,3,3
●,8_L,Questions for Trump,0,at least four dozen questions on an exhaustive array of subjects,AnZhu,26-Mar-20 14:10:15,,,64,0.69,3,3
●,8_L,RUS,0,Russia,maxku,14-May-18 16:29:06,,,6,0.06,3,3
●,8_L,Questions for Trump,0,a list of the questions,AnZhu,26-Mar-20 14:10:57,,,23,0.25,3,3
●,8_L,USA\Trump,0,President Trump,maxku,14-May-18 16:29:22,,,15,0.16,3,3
●,8_L,Questions for Trump,0,The open-ended queries,maxku,14-May-18 16:29:33,,,22,0.24,4,4
●,8_L,USA\Trump,0,the president,maxku,14-May-18 16:29:42,,,13,0.14,4,4
●,8_L,USA\Trump,0,the president,maxku,14-May-18 16:30:24,,,13,0.14,4,4
●,8_L,USA\Trump,0,the president,maxku,14-May-18 16:31:01,,,13,0.14,5,5
●,8_L,USA\Trump,0,the president,maxku,14-May-18 16:31:24,,,13,0.14,5,5
●,8_L,USA\Trump,0,Mr. Trump,maxku,14-May-18 16:31:50,,,9,0.10,5,5
●,8_L,RUS,0,Russia,maxku,14-May-18 16:32:15,,,6,0.06,5,5
●,8_L,USA\Trump,0,Mr. Trump',maxku,14-May-18 16:32:43,,,10,0.11,5,5
●,8_L,RUS meddling,0,Russia Ties and Obstruction,maxku,24-May-18 08:43:22,,,27,0.29,1,1
●,8_L,RUS meddling,0,Russia's election interference,maxku,24-May-18 08:43:43,,,30,0.32,3,3
●,8_L,RUS meddling,0,his ties to Russia,AnZhu,26-Mar-20 14:10:50,,,18,0.19,3,3
●,8_L,RUS meddling,0,Russia's election meddling,maxku,24-May-18 08:44:53,,,26,0.28,7,7
●,8_L,RUS investigation,0,an investigation into Russia's election meddling,maxku,24-May-18 08:45:01,,,48,0.52,7,7
