,CD2CR,CEREC,ECBplus,ECBplusMETAm,FCC,GVC,HyperCoref,MEANTIME,NIdent,NP4E,NewsWCL50,WECEng
[0.0..1.0),74.0,566.0,666.0,139.0,29.0,415.0,16,246.0,654.0,288.0,58.0,3986.0
[1.0..2.0),4587.0,715.0,3751.0,1545.0,227.0,862.0,5580,2389.0,1515.0,169.0,188.0,2194.0
[2.0..3.0),310.0,153.0,260.0,151.0,87.0,223.0,1631,217.0,199.0,170.0,66.0,928.0
[3.0..4.0),96.0,31.0,100.0,63.0,49.0,93.0,721,62.0,49.0,27.0,26.0,260.0
[4.0..5.0),56.0,5.0,46.0,38.0,21.0,46.0,1503,15.0,20.0,12.0,17.0,104.0
[5.0..6.0),22.0,3.0,27.0,21.0,21.0,23.0,811,7.0,7.0,1.0,13.0,47.0
[6.0..7.0),16.0,1.0,7.0,18.0,15.0,8.0,480,0.0,7.0,1.0,8.0,28.0
[7.0..8.0),13.0,1.0,5.0,22.0,5.0,5.0,394,2.0,4.0,0.0,8.0,11.0
[8.0..9.0),4.0,0.0,6.0,15.0,4.0,2.0,325,0.0,3.0,0.0,3.0,13.0
[9.0..10.0),11.0,0.0,3.0,8.0,2.0,0.0,285,0.0,5.0,0.0,8.0,10.0
[10.0..11.0),6.0,0.0,2.0,4.0,1.0,2.0,267,0.0,2.0,0.0,5.0,6.0
[11.0..12.0),8.0,0.0,1.0,5.0,3.0,0.0,247,0.0,0.0,0.0,5.0,1.0
[12.0..13.0),3.0,0.0,0.0,6.0,1.0,0.0,195,0.0,0.0,0.0,3.0,1.0
[13.0..14.0),3.0,0.0,0.0,6.0,1.0,0.0,153,0.0,0.0,0.0,3.0,0.0
[14.0..15.0),4.0,0.0,0.0,3.0,1.0,0.0,90,0.0,0.0,0.0,3.0,1.0
[15.0..16.0),4.0,0.0,0.0,1.0,0.0,0.0,69,0.0,1.0,0.0,0.0,1.0
[16.0..17.0),3.0,0.0,0.0,2.0,0.0,0.0,47,0.0,2.0,0.0,2.0,0.0
[17.0..18.0),1.0,0.0,0.0,4.0,1.0,0.0,47,0.0,0.0,0.0,2.0,1.0
[18.0..19.0),0.0,0.0,0.0,2.0,0.0,0.0,36,0.0,0.0,0.0,2.0,0.0
[19.0..20.0),0.0,0.0,0.0,2.0,0.0,0.0,26,0.0,0.0,0.0,3.0,3.0
[20.0..21.0),0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,1.0,1.0
[21.0..22.0),0.0,0.0,0.0,2.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0
[22.0..23.0),0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
[23.0..24.0),0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0
[24.0..25.0),0.0,0.0,0.0,1.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0
[25.0..26.0),0.0,0.0,0.0,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0
[26.0..27.0),0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0
[27.0..28.0),0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
[28.0..29.0),0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.0,0.0
[29.0..30.0),1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
[30.0..,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,6.0,1.0
